name,cost,bad_cost,screen_size,screen_dimensions,matrix_type
Amazfit Verge,54 990 ₸,56 990 ₸,1.3,360 x 360,AMOLED
Apple Watch Series 4,206 700 ₸,219 900 ₸,,,"Retina, OLED"
MyKronoz ZeTime Regular,87 200 ₸,92 800 ₸,1.22,240 x 240,TFT
MyKronoz ZeCircle 2 Swarovski,47 900 ₸,51 100 ₸,0.96,240 x 198,TFT
Amazfit GTS A1914,44 990 ₸,49 900 ₸,1.65,348 x 442,AMOLED
Amazfit GTS 2e A2021,59 990 ₸,62 990 ₸,1.65,348 x 442,AMOLED
Amazfit T-Rex A1919,54 990 ₸,56 900 ₸,1.3,360 x 360,AMOLED
JET Kid Transformers Optimus Prime,22 990 ₸,23 900 ₸,1.44,240 x 240,TFT
Canyon CNS-SW81SW,22 990 ₸,24 900 ₸,1.3,240 x 240,IPS
JET My Little Pony,22 990 ₸,23 900 ₸,1.44,240 x 240,TFT
Amazfit Bip S,24 990 ₸,26 900 ₸,1.28,176 x 176,TFT
Amazfit Neo A2001,16 990 ₸,17 990 ₸,1.2,,STN
Canyon CNS-SW81BR,18 990 ₸,21 900 ₸,1.3,240 x 240,IPS
JET Kid Connect,9 990 ₸,10 990 ₸,1.44,128 x 128,TFT
Apple Watch Series 6,209 990 ₸,219 900 ₸,,368 x 448,"Retina, OLED, LTPO"
MyKronoz ZeRound 2 HR Premium,54 500 ₸,58 000 ₸,1.22,240 x 204,TFT
Apple Watch Nike Series 6,206 700 ₸,219 900 ₸,,324 x 394,"Retina, OLED, LTPO"
Amazfit Bip S,23 990 ₸,25 990 ₸,1.28,176 x 176,TFT
Apple Watch Series 6,199 990 ₸,209 900 ₸,,368 x 448,"Retina, OLED, LTPO"
MyKronoz ZeCircle 2 Swarovski,47 900 ₸,51 100 ₸,0.96,240 x 198,TFT
Apple Watch Series 6,199 990 ₸,209 900 ₸,,368 x 448,"Retina, OLED, LTPO"
Amazfit Bip U Pro A2008,27 690 ₸,29 900 ₸,1.43,302 x 320,TFT
Xiaomi XMWTCL02,57 990 ₸,59 900 ₸,1.39,454 x 454,AMOLED
Amazfit Bip U A2017,19 990 ₸,22 990 ₸,1.43,302 x 320,TFT
Amazfit Bip U A2017,24 990 ₸,26 900 ₸,1.43,302 x 320,TFT
Apple Watch Series 6,209 990 ₸,219 900 ₸,,368 x 448,"Retina, OLED, LTPO"
JET Kid Transformers Optimus vs Megatron,22 990 ₸,23 900 ₸,1.44,240 x 240,TFT
Amazfit T-Rex Pro A2013,69 990 ₸,79 900 ₸,1.3,360 x 360,AMOLED
JET Kid Transformers Optimus Prime,21 990 ₸,23 900 ₸,1.44,240 x 240,TFT
imilab KW66,23 990 ₸,25 990 ₸,1.28,240 x 240,TFT
Xiaomi XMWTCL02,55 990 ₸,59 900 ₸,1.39,454 x 454,AMOLED
70mai WT2105,21 290 ₸,22 900 ₸,1.69,,TFT
70mai WT2105,26 990 ₸,28 900 ₸,1.69,,TFT
Amazfit T-Rex Pro A2013,74 990 ₸,79 900 ₸,1.3,360 x 360,AMOLED
Apple A2474,268 990 ₸,279 900 ₸,,396 x 484,"Retina, OLED, LTPO"
JET Kid My Little Pony Movie,19 990 ₸,23 900 ₸,1.2,240 x 240,TFT
JET Kid PJ Masks,21 990 ₸,23 900 ₸,1.2,240 x 240,TFT
Amazfit GTR A1910,44 990 ₸,48 900 ₸,1.2,390 x 390,AMOLED
Xiaomi Watch S1 Active M2116W1,89 990 ₸,89 990 ₸,1.43,466 x 466,AMOLED
Amazfit T-Rex Pro A2013,69 990 ₸,79 900 ₸,1.3,360 x 360,AMOLED
POCO M2131W1,34 890 ₸,36 990 ₸,1.6,320 x 360,AMOLED
JET Kid Connect,9 990 ₸,10 990 ₸,1.44,128 x 128,TFT
70mai WT2105,24 990 ₸,26 990 ₸,1.69,,TFT
POCO M2131W1,34 790 ₸,36 990 ₸,1.6,320 x 360,AMOLED
Amazfit Bip 3 A2172,25 790 ₸,27 900 ₸,1.69,240 х 280,TFT
Amazfit Bip 3 A2172,25 790 ₸,27 900 ₸,1.69,240 х 280,TFT
70mai WT2105,21 290 ₸,22 900 ₸,1.69,,TFT
Amazfit T-Rex A1919,54 990 ₸,57 990 ₸,1.3,360 x 360,AMOLED
Amazfit Bip 3 Pro A2171,32 990 ₸,35 900 ₸,1.69,240 х 280,TFT
Amazfit Bip 3 Pro A2171,32 990 ₸,35 900 ₸,1.69,240 х 280,TFT
Amazfit Bip 3 Pro A2171,32 990 ₸,35 900 ₸,1.69,240 х 280,TFT
JET Vision 4G,29 990 ₸,32 900 ₸,1.44,240 x 240,TFT
Apple A2351,169 990 ₸,179 900 ₸,,324 x 394,"Retina, OLED"
Amazfit GTR 2 A1952,69 990 ₸,76 900 ₸,1.39,454 x 454,AMOLED
Amazfit GTR 2 A1952,69 990 ₸,76 900 ₸,1.39,454 x 454,AMOLED
Amazfit Bip U A2017,24 990 ₸,26 900 ₸,1.43,302 x 320,TFT
Amazfit GTS 2 A1969,69 890 ₸,75 990 ₸,1.65,348 x 442,AMOLED
POCO M2131W1,34 790 ₸,36 990 ₸,1.6,320 x 360,AMOLED
Amazfit GTS 2 A1969,69 890 ₸,75 990 ₸,1.65,348 x 442,AMOLED
